Brazil , 2592000, 211049.53, 343.70, 1
Vietnam , 1650000, 96462.11, 431.66, 2
Colombia , 810000, 50339.44, 310.89, 3
Indonesia , 660000, 270625.57, 302.52, 4
Ethiopia , 384000, 112078.73, 199.46, 5 
Honduras , 348000, 9746.12, 497.94, 6
India , 348000, 1366417.75, 440.17, 7
Uganda , 288000, 44269.59, -0, 8
Mexico , 234000, 127575.53, 490.70, 9 
Guatemala , 204000, 16604.03, 465.31, 10
Peru , 192000, 32510.45, 411.06, 11
Nicaragua , 132000, 6545.50, 536.93, 12
China , 116820, 1397715.00, 1038.21, 13
Ivory_Coast , 108000, 25716.54, 618.35, 14
Costa_Rica , 89520, 5047.56, 763.60, 15
Kenya, 49980 , 52573.97, 400.42, 16
Papua_New_Guinea , 48000, 8776.11, 1161.47, 17
Tanzania , 48000, 58005.46, 543.34, 18
El_Salvador , 45720, 6453.55, 386.50, 19
Ecuador , 42000, 17373.66, 465.98, 20
Cameroon , 34200, 25876.38, 842.47, 21
Laos , 31200, 7169.45, 483.01, 22
Madagascar , 31200, 26969.31, 349.33, 23
Gabon , 30000, 2172.58, 1012.80, 24
Thailand , 30000, 69625.58, 621.06, 25
Venezuela , 30000, 28515.83, -0, 26
Dominican_Republic , 24000, 10738.96, 341.78, 27
Haiti , 21000, 11263.08, 787.56, 28
Democratic_Republic_of_the_Congo , 20100, 86790.57, 236.88, 29
Rwanda , 15000, 12626.95, 702.54, 30
Burundi , 12000, 11530.58, 602.35, 31
Philippines , 12000, 108116.62, 311.94, 32
Togo , 12000, 8082.37, 966.97, 33
Guinea , 9600, 12771.25, 705.82,34
Yemen , 7200, 29161.92, 132.97, 35
Cuba , 6000, 11333.48, 912.74, 36
Panama , 6000, 4246.44, 737.59, 37
Bolivia , 5400, 11513.10, 523.05, 38
Timor_Leste , 4800, 1293.12, 2210, 39
Central_African_Republic , 3900, 4745.19, 793.02, 40
Nigeria , 2400, 200963.60, 890.93, 41
Ghana , 2220, 30417.86, 876.40, 42
Sierra_Leone , 2160, 7813.22, 556.95, 43
Angola , 2100, 31825.29, 23.62, 44
Jamaica , 1260, 2948.28, 630.52, 45
Paraguay , 1200, 7044.64, 361.58, 46
Malawi , 960, 18628.75, 207.59, 47
Trinidad_and_Tobago , 720, 1394.97, 859.35, 48
Zimbabwe , 600, 14645.47, 305, 49
Liberia , 360, 4937.37, 417.45, 50

